hgnc_id	GEP	GCN	MUT	CNS
HGNC:10006	-1	3	3	-1
HGNC:1027	1	3	3	1
HGNC:10293	1	3	3	1
HGNC:10297	3	3	3	3
HGNC:10451	3	3	3	3
HGNC:10452	3	3	3	3
HGNC:1047	-1	0	3	-1
HGNC:1048	-1	0	3	-1
HGNC:10536	-1	3	3	-1
HGNC:10540	3	3	3	3
HGNC:10545	1	3	3	1
HGNC:10547	-1	3	3	-1
HGNC:10571	3	3	3	3
HGNC:10606	2	3	3	2
HGNC:1062	2	3	3	2
HGNC:1063	3	3	3	3
HGNC:10680	3	3	3	3
HGNC:10681	3	0	3	3
HGNC:10682	3	3	3	3
HGNC:10683	3	3	3	3
HGNC:10691	-1	3	3	-1
HGNC:10761	1	3	3	1
HGNC:108	-1	3	3	-1
HGNC:10817	1	3	3	1
HGNC:10818	-1	3	3	-1
HGNC:10850	2	3	3	2
HGNC:10852	2	3	3	2
HGNC:10856	-1	3	3	-1
HGNC:10860	-1	3	3	-1
HGNC:10862	-1	3	3	-1
HGNC:10863	1	3	3	1
HGNC:10864	1	3	3	1
HGNC:10866	1	3	3	1
HGNC:10867	-1	3	3	-1
HGNC:10869	-1	1	3	-1
HGNC:10872	-1	3	3	-1
HGNC:10905	-1	3	3	-1
HGNC:10906	-1	3	3	-1
HGNC:10907	-1	3	3	-1
HGNC:10908	1	3	3	1
HGNC:10909	-1	0	3	-1
HGNC:10910	-1	3	3	-1
HGNC:10911	1	3	3	1
HGNC:10912	-1	3	3	-1
HGNC:10913	1	3	3	1
HGNC:10914	-1	3	3	-1
HGNC:10915	2	0	3	2
HGNC:10916	-1	3	3	-1
HGNC:10917	-1	3	3	-1
HGNC:10918	-1	3	3	-1
HGNC:10919	-1	3	3	-1
HGNC:10920	-1	3	3	-1
HGNC:10921	-1	3	3	-1
HGNC:10922	3	3	3	3
HGNC:10923	1	3	3	1
HGNC:10924	2	0	3	2
HGNC:10928	-1	3	3	-1
HGNC:10929	-1	3	3	-1
HGNC:1093	1	3	3	1
HGNC:10930	-1	3	3	-1
HGNC:10931	-1	0	3	-1
HGNC:10932	-1	3	3	-1
HGNC:10933	1	3	3	1
HGNC:10934	-1	3	3	-1
HGNC:10935	-1	3	3	-1
HGNC:10936	-1	3	3	-1
HGNC:10937	1	3	3	1
HGNC:10938	1	3	3	1
HGNC:10939	-1	3	3	-1
HGNC:10940	-1	3	3	-1
HGNC:10941	-1	3	3	-1
HGNC:10942	-1	0	3	-1
HGNC:10943	3	0	3	3
HGNC:10944	-1	3	3	-1
HGNC:10945	-1	3	3	-1
HGNC:10946	3	3	3	3
HGNC:10947	1	3	3	1
HGNC:10952	-1	3	3	-1
HGNC:10953	3	3	3	3
HGNC:10955	-1	3	3	-1
HGNC:10956	-1	3	3	-1
HGNC:10959	-1	3	3	-1
HGNC:1096	2	3	3	2
HGNC:10961	1	3	3	1
HGNC:10962	-1	3	3	-1
HGNC:10963	-1	3	3	-1
HGNC:10966	-1	3	3	-1
HGNC:10967	-1	3	3	-1
HGNC:10968	-1	3	3	-1
HGNC:10969	1	3	3	1
HGNC:10970	-1	3	3	-1
HGNC:10971	-1	3	3	-1
HGNC:10972	-1	3	3	-1
HGNC:10973	1	3	3	1
HGNC:10974	-1	3	3	-1
HGNC:10975	-1	3	3	-1
HGNC:10976	-1	3	3	-1
HGNC:10977	-1	0	3	-1
HGNC:10978	-1	3	3	-1
HGNC:10979	3	3	3	3
HGNC:10980	-1	3	3	-1
HGNC:10981	2	3	3	2
HGNC:10982	1	3	3	1
HGNC:10983	2	3	3	2
HGNC:10984	1	3	3	1
HGNC:10985	2	3	3	2
HGNC:10986	1	3	3	1
HGNC:10988	-1	3	3	-1
HGNC:10989	3	0	3	3
HGNC:10990	2	3	3	2
HGNC:10991	3	3	3	3
HGNC:10992	3	3	3	3
HGNC:10993	-1	0	3	-1
HGNC:10994	1	3	3	1
HGNC:10995	1	3	3	1
HGNC:10996	-1	3	3	-1
HGNC:10997	1	3	3	1
HGNC:10998	2	3	3	2
HGNC:10999	-1	3	3	-1
HGNC:11000	-1	3	3	-1
HGNC:11001	-1	3	3	-1
HGNC:11002	-1	3	3	-1
HGNC:11003	3	0	3	3
HGNC:11004	1	3	3	1
HGNC:11005	2	3	3	2
HGNC:11006	-1	3	3	-1
HGNC:11007	-1	3	3	-1
HGNC:11009	-1	3	3	-1
HGNC:11010	-1	3	3	-1
HGNC:11012	2	3	3	2
HGNC:11018	-1	3	3	-1
HGNC:11019	-1	3	3	-1
HGNC:11020	-1	3	3	-1
HGNC:11021	-1	3	3	-1
HGNC:11022	2	3	3	2
HGNC:11023	1	3	3	1
HGNC:11024	-1	3	3	-1
HGNC:11025	-1	3	3	-1
HGNC:11026	2	3	3	2
HGNC:11027	-1	3	3	-1
HGNC:11028	3	3	3	3
HGNC:11029	1	3	3	1
HGNC:11030	-1	0	3	-1
HGNC:11033	1	3	3	1
HGNC:11034	-1	3	3	-1
HGNC:11035	-1	3	3	-1
HGNC:11036	-1	3	3	-1
HGNC:11037	-1	3	3	-1
HGNC:11038	0	3	3	3
HGNC:11040	-1	3	3	-1
HGNC:11041	2	3	3	2
HGNC:11042	-1	0	3	-1
HGNC:11044	-1	3	3	-1
HGNC:11045	-1	3	3	-1
HGNC:11046	-1	3	3	-1
HGNC:11047	-1	3	3	-1
HGNC:11048	-1	3	3	-1
HGNC:11049	-1	3	3	-1
HGNC:11050	-1	3	3	-1
HGNC:11051	-1	3	3	-1
HGNC:11052	1	3	3	1
HGNC:11054	-1	3	3	-1
HGNC:11055	3	3	3	3
HGNC:11056	-1	0	3	-1
HGNC:11057	2	3	3	2
HGNC:11058	-1	3	3	-1
HGNC:11059	-1	3	3	-1
HGNC:11060	-1	3	3	-1
HGNC:11061	-1	3	3	-1
HGNC:11063	3	3	3	3
HGNC:11064	1	3	3	1
HGNC:11065	-1	3	3	-1
HGNC:11066	-1	0	3	-1
HGNC:11067	-1	3	3	-1
HGNC:11068	-1	3	3	-1
HGNC:11069	-1	3	1	-1
HGNC:11070	-1	0	3	-1
HGNC:11071	1	0	3	1
HGNC:11072	-1	0	3	-1
HGNC:11073	1	3	3	1
HGNC:11077	-1	3	3	-1
HGNC:11078	1	3	3	1
HGNC:11120	1	3	3	1
HGNC:11121	2	3	3	2
HGNC:11123	3	3	3	3
HGNC:11177	2	3	3	2
HGNC:11178	-1	3	3	-1
HGNC:11179	3	3	3	3
HGNC:11180	1	3	3	1
HGNC:11181	-1	3	3	-1
HGNC:11184	2	3	3	2
HGNC:1122	1	3	3	1
HGNC:11240	-1	3	3	-1
HGNC:11257	3	3	3	3
HGNC:11277	2	3	3	2
HGNC:11278	1	3	3	1
HGNC:11279	2	0	3	2
HGNC:11284	2	0	3	2
HGNC:11285	-1	0	3	-1
HGNC:11296	3	3	3	3
HGNC:11377	-1	2	3	-1
HGNC:11425	-1	3	3	-1
HGNC:11448	2	3	3	2
HGNC:11449	3	3	3	3
HGNC:11450	3	3	3	3
HGNC:11453	-1	3	3	-1
HGNC:11454	-1	0	3	-1
HGNC:11455	1	3	3	1
HGNC:11458	-1	3	3	-1
HGNC:11459	-1	3	3	-1
HGNC:11460	1	3	3	1
HGNC:11479	2	3	3	2
HGNC:115	3	3	3	3
HGNC:11503	1	3	3	1
HGNC:11504	-1	3	3	-1
HGNC:11559	3	3	3	3
